"IDNUMBER";"AGEYEARS";"DAYSSINCEBD";"AGEDAYS";"SEX";"BCOUNTRY";"BREGION";"DCOUNTRY";"DREGION";"BDATE";"DDATE";"VALIDATION";"VALIDATIONTYPE";"VALIDATIONYEAR";"SOURCE1";"SOURCE2";"SOURCE3";"BCERTIF";"DCERTIF";"CENSUS";"CENSUSYEAR";"PROOFS";"NOTE";"UPDATE"
BEL0187009191DSSC1;106;223;38939;M;BEL;.;BEL;.;19/09/1870;30/04/1977;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187102011DSSC2;106;343;39059;M;BEL;.;BEL;.;01/02/1871;10/01/1978;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187102191DSSC3;106;98;38814;M;BEL;.;BEL;.;19/02/1871;28/05/1977;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187306241DSSC5;107;31;39112;M;BEL;.;BEL;.;24/06/1873;25/07/1980;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187312091DSSC7;106;62;38777;M;BEL;.;BEL;.;09/12/1873;09/02/1980;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187402181DSSC8;108;340;39786;M;BEL;.;BEL;.;18/02/1874;24/01/1983;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187609151DSSC20;105;0;38350;M;BEL;.;BEL;.;15/09/1876;15/09/1981;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187706031DSSC24;105;92;38442;M;FRA;.;BEL;.;03/06/1877;03/09/1982;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187808071DSSC32;106;109;38825;M;BEL;.;BEL;.;07/08/1878;24/11/1984;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187809171DSSC35;107;84;39165;M;BEL;.;BEL;.;17/09/1878;10/12/1985;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187810041DSSC37;105;186;38536;M;BEL;.;BEL;.;04/10/1878;07/04/1984;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187812241DSSC39;105;15;38365;M;BEL;.;BEL;.;24/12/1878;08/01/1984;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0187909231DSSC43;105;213;38564;M;BEL;.;BEL;.;23/09/1879;24/04/1985;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188012151DSSC48;105;335;38685;M;BEL;.;BEL;.;15/12/1880;15/11/1986;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188110051DSSC54;105;207;38557;M;BEL;.;BEL;.;05/10/1881;30/04/1987;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188401101DSSC73;105;4;38355;M;BEL;.;BEL;.;10/01/1884;14/01/1989;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188410071DSSC78;105;93;38443;M;BEL;.;BEL;.;07/10/1884;08/01/1990;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188503101DSSC85;107;78;39159;M;BEL;.;BEL;.;10/03/1885;27/05/1992;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188509271DSSC91;105;136;38486;M;BEL;.;BEL;.;27/09/1885;10/02/1991;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188511251DSSC93;105;202;38552;M;BEL;.;BEL;.;25/11/1885;15/06/1991;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188602251DSSC101;108;36;39482;M;BEL;.;BEL;.;25/02/1886;02/04/1994;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188606031DSSC105;105;6;38356;M;BEL;.;BEL;.;03/06/1886;09/06/1991;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188608071DSSC110;106;343;39059;M;BEL;.;BEL;.;07/08/1886;16/07/1993;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188701251DSSC112;105;24;38374;M;BEL;.;BEL;.;25/01/1887;18/02/1992;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188804111DSSC130;106;97;38812;M;BEL;.;BEL;.;11/04/1888;17/07/1994;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188808191DSSC138;105;211;38561;M;BEL;.;BEL;.;19/08/1888;18/03/1994;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0188904211DSSC153;105;186;38536;M;BEL;.;BEL;.;21/04/1889;24/10/1994;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL0189011151DSSC165;107;228;39309;M;BEL;.;BEL;.;15/11/1890;01/07/1998;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
