"IDNUMBER";"AGEYEARS";"DAYSSINCEBD";"AGEDAYS";"SEX";"BCOUNTRY";"BREGION";"DCOUNTRY";"DREGION";"BDATE";"DDATE";"VALIDATION";"VALIDATIONTYPE";"VALIDATIONYEAR";"SOURCE1";"SOURCE2";"SOURCE3";"BCERTIF";"DCERTIF";"CENSUS";"CENSUSYEAR";"PROOFS";"NOTE";"UPDATE"
UK0185606151DSC1;111;280;40821;M;UK;.;EW;.;15/06/1856;21/03/1968;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK0187708191DSC18;112;295;41202;M;UK;.;EW;.;19/08/1877;10/06/1990;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK0189606061DSC96;113;42;41314;M;UK;UKI12;EW;UKJ21;06/06/1896;18/07/2009;YES;exhaustive;2010;ONS;GRO;.;CERTIF;CERTIF;.;.;.;.;2
UK0189806171DSC98;111;38;40580;M;UK;UKK12;EW;UKK12;17/06/1898;25/07/2009;YES;exhaustive;2010;ONS;GRO;.;CERTIF;CERTIF;.;.;.;.;2
UK0190001151DSC102;110;156;40333;M;EW;UKK30;EW;UKK30;15/01/1900;20/06/2010;YES;exhaustive;2012;ONS;GRO;.;CERTIF;CERTIF;.;.;.;.;2
UK0190207291DSC182;115;130;42134;M;EW;.;EW;.;29/07/1902;06/12/2017;YES;exhaustive;2019;.;.;.;COPY;.;.;.;ONSDE;.;3
UK0190211041DSC140;110;62;40240;M;EW;UKG24;EW;UKF11;04/11/1902;05/01/2013;YES;exhaustive;2014;ONS;GRO;.;CERTIF;CERTIF;.;.;.;.;2
UK0190307071DSC138;110;115;40293;M;EW;UKF14;EW;UKE32;07/07/1903;30/10/2013;YES;exhaustive;2014;ONS;GRO;.;CERTIF;CERTIF;.;.;.;.;2
UK01904110301DSC178;111;135;40677;M;EW;.;EW;.;30/11/1904;13/04/2016;YES;exhaustive;2017;ONS;GRO;.;COPY;COPY;.;.;.;.;3
UK1185802061DSC2;111;339;40881;F;UK;.;EW;.;06/02/1858;11/01/1970;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1186107101DSC3;112;39;40946;F;UK;.;EW;.;10/07/1861;18/08/1973;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1186408251DSC4;111;121;40662;F;UK;.;EW;.;25/08/1864;24/12/1975;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1186701231DSC5;111;20;40562;F;UK;.;EW;.;23/01/1867;12/02/1978;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1186811301DSC6;110;74;40250;F;UK;.;EW;.;30/11/1868;12/02/1979;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1186812261DSC7;111;299;40840;F;UK;.;EW;.;26/12/1868;20/10/1980;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1186912021DSC10;112;34;40941;F;UK;.;EW;.;02/12/1869;05/01/1982;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1187009131DSC8;110;116;40293;F;UK;.;EW;.;13/09/1870;07/01/1981;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1187109161DSC11;111;23;40565;F;UK;.;EW;.;16/09/1871;09/10/1982;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1187110191DSC9;110;31;40208;F;UK;.;EW;.;19/10/1871;19/11/1981;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1187306021DSC14;114;208;41845;F;UK;.;EW;.;02/06/1873;27/12/1987;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1187312201DSC12;110;265;40441;F;UK;.;EW;.;20/12/1873;10/09/1984;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1187409281DSC13;110;214;40391;F;UK;.;EW;.;28/09/1874;30/04/1985;YES;exhaustive;.;.;.;.;.;.;.;.;.;.;1
UK1187708011DSC22;115;228;42231;F;UK;UKC11;EW;UKC12;01/08/1877;17/03/1993;YES;exhaustive;1994;ONS;GRO;.;REGIST;CERTIF;.;.;.;.;1
